label,topic,keywords
Data Processing,Topic 0,"user, data, device, image, content, method, based, object, second, information, model, associated, video, plurality, medium, application, item, set, input, event"
Wireless Communication,Topic 1,"wireless, ue, resource, communication, transmission, signal, information, channel, device, second, station, configuration, method, radio, beam, base, control, uplink, network, power"
Applications,Topic 2,"animation, trip, audience, nft, flight, error, fov, telematics, dispensing, dispenser, dialog, fuel, exercise, scell, defect, welding, hazard, signature, meter, particle"
Sensors,Topic 3,"block, current, prediction, transform, decoding, picture, sample, basis, motion, deriving, vector, residual, pressure, intra, air, bitstream, mode, information, heat, flag"
User Interface,Topic 4,"image, audio, signal, device, object, user, virtual, sensor, wearable, sound, position, display, camera, eye, environment, second, configured, movement, head, reality"
External Devices,Topic 5,"insurance, drone, headworn, transportation, vehicle, parking, sentiment, av, trp, observed, pickup, playlist, mb, door, compartment, charging, shadow, selfdriving, chassis, pll"
Network System,Topic 6,"device, data, network, user, memory, access, request, communication, service, information, second, method, associated, application, key, computing, server, transaction, storage, based"
Display,Topic 7,"circuit, signal, pixel, voltage, second, display, power, electrode, driving, line, transistor, configured, layer, panel, output, connected, plurality, includes, touch, control"
Audio System,Topic 8,"utterance, speech, audio, conference, topic, voice, earpiece, spoken, chatbot, assistant, speaker, transcription, transcript, satellite, conferencing, disease, portal, post, backup, container"
Optical Technology,Topic 9,"light, display, surface, second, layer, portion, housing, optical, lens, substrate, disposed, element, area, region, includes, device, structure, configured, material, sensor"
Materials,Topic 10,"compound, clip, ligand, atm, formula, episode, shooting, stroke, carbon, rlm, polar, strand, binding, printer, fixing, mo, mixture, lowpower, neighbor, ecc"
Memory,Topic 11,"wtru, memory, bwp, cell, bit, repeater, reservoir, water, tensor, fan, read, pump, duty, codeword, filling, uci, branch, gear, quantum, po"
